,Rank,isValid,Domain_reg_len,is@,isRedirect,haveDash,SubDomain,LongURL,TinyURL,Label
171,0,0,1,0,0,0,1,0,0,0
172,1,1,0,0,0,0,1,0,0,1
173,1,0,1,0,0,0,0,0,0,1
174,1,0,1,0,0,0,1,1,0,1
175,1,0,1,0,0,0,1,1,0,1
176,1,1,0,0,0,0,1,0,0,0
177,1,0,1,0,0,0,0,0,0,1
178,1,0,1,0,0,0,1,0,0,0
179,1,1,0,0,0,0,0,0,0,0
180,1,1,0,0,0,0,1,0,0,0
181,1,0,1,0,0,0,1,0,0,1
182,1,0,1,0,0,0,0,0,0,1
183,0,1,0,0,0,0,0,0,0,0
184,1,1,0,0,0,0,1,0,0,0
185,1,1,0,0,0,0,0,0,0,0
186,1,1,0,0,0,0,1,1,0,1
187,1,1,1,0,0,0,1,1,0,1
188,0,0,1,0,0,0,1,0,0,0
189,1,1,0,0,0,0,0,0,0,1
190,1,0,1,0,0,0,1,1,0,1
191,1,1,0,0,0,0,0,0,0,1
192,0,1,0,0,0,0,1,0,0,0
193,1,0,1,0,0,0,1,0,0,0
194,1,0,1,0,0,0,1,0,0,1
195,1,0,1,0,0,0,1,0,0,1
196,0,1,0,0,0,0,1,1,0,0
197,1,0,1,0,0,0,0,1,0,1
198,1,1,0,0,0,0,1,1,0,1
199,0,1,0,0,0,0,0,0,0,1
200,0,1,0,0,0,0,0,0,0,0
201,1,0,1,0,0,0,1,0,0,1
202,1,1,0,0,0,0,1,0,0,1
203,1,0,1,0,0,0,0,0,0,1
204,0,1,0,0,0,0,0,1,0,0
205,0,1,0,0,0,0,0,0,0,0
206,0,1,0,0,0,0,0,0,0,0
207,1,1,0,0,0,0,1,1,0,1
208,1,1,0,0,0,0,0,0,0,0
209,0,1,0,0,0,1,1,1,0,1
210,1,1,0,0,0,0,0,0,0,0
211,1,0,1,0,0,0,0,1,0,1
212,1,0,1,0,0,0,1,0,0,0
213,1,0,1,0,0,0,0,1,0,1
214,1,0,1,0,0,0,0,0,0,0
215,1,1,0,0,0,0,1,0,0,0
216,1,0,1,0,0,1,1,1,0,1
217,1,1,1,0,0,1,1,1,0,1
218,0,1,0,0,0,0,1,0,0,0
219,0,1,0,0,0,0,0,0,0,0
220,0,1,0,0,0,0,0,0,0,0
221,1,1,0,0,0,0,1,1,0,1
222,1,1,0,0,0,0,0,0,0,0
223,1,0,1,0,0,1,1,0,0,1
224,1,1,0,0,0,0,1,1,0,1
225,1,1,0,0,0,0,1,0,0,0
226,0,1,0,0,0,0,1,0,0,0
227,1,0,1,0,0,0,1,1,0,1
228,0,0,1,0,0,0,0,0,0,1
229,1,0,1,0,0,0,1,0,0,0
230,1,0,1,0,0,0,1,0,0,0
231,1,1,0,0,0,0,1,1,0,1
232,1,1,1,0,0,0,0,0,0,1
233,1,1,0,0,0,0,1,0,0,0
234,1,1,0,0,0,0,1,0,0,1
235,1,1,0,0,0,0,1,1,0,1
236,0,1,0,0,0,0,0,0,0,1
237,1,0,1,0,0,1,1,1,0,1
238,1,1,0,0,0,0,0,0,0,0
239,0,1,0,0,0,0,0,0,0,0
240,1,1,0,0,0,0,1,1,0,1
241,1,1,0,0,0,0,0,1,0,1
242,1,0,1,0,0,1,1,1,0,1
243,1,1,0,0,0,0,0,0,0,0
244,0,1,0,0,0,0,1,0,0,0
245,1,1,0,0,0,0,1,1,0,1
246,1,0,1,0,0,0,0,1,0,1
247,1,0,1,0,0,0,1,0,0,0
248,1,1,0,0,0,0,1,0,0,1
249,1,0,1,0,0,1,1,1,0,1
250,1,1,0,0,0,0,1,1,0,1
251,0,1,0,0,0,0,1,0,1,1
252,1,1,0,0,0,0,1,0,0,0
253,1,1,0,0,0,0,1,0,0,0
254,1,1,0,0,0,0,0,1,1,1
255,0,0,1,0,0,0,0,0,0,0
256,1,0,1,0,0,0,1,0,0,0
257,1,0,1,0,0,0,1,0,0,1
258,0,1,0,0,0,0,1,0,0,0
259,1,1,0,0,0,0,0,1,1,1
260,1,0,1,0,0,0,0,0,0,0
261,1,1,0,0,0,0,1,0,0,0
262,0,1,0,0,0,0,1,0,0,0
263,0,1,0,0,0,0,0,0,0,0
264,0,1,0,0,0,0,1,0,0,0
265,1,1,0,0,0,0,1,1,1,1
266,0,1,0,0,0,0,0,0,0,0
267,1,0,1,0,0,0,0,1,0,1
268,1,1,0,0,0,0,0,0,0,0
269,0,1,0,0,0,0,0,0,0,0
270,1,1,0,0,0,0,0,0,0,0
271,1,0,1,0,0,0,1,0,0,0
272,1,1,0,0,0,0,1,1,0,1
273,0,0,1,0,0,0,1,0,0,0
274,1,1,0,0,0,0,1,1,0,1
275,1,0,1,0,0,0,0,0,0,1
276,1,0,1,0,1,0,1,1,0,1
277,1,0,1,0,0,0,1,1,0,1
278,1,0,1,0,0,0,1,1,0,1
279,1,0,1,0,0,0,1,0,0,1
280,1,0,1,0,0,1,1,1,0,1
281,1,1,1,0,0,0,0,1,0,1
282,1,0,1,0,0,0,0,0,0,0
283,1,0,1,0,0,0,1,1,0,1
284,1,1,0,0,0,0,0,0,0,0
285,0,1,0,0,0,1,1,1,0,1
286,1,0,1,0,0,0,1,1,0,1
287,0,0,1,0,0,0,1,0,0,0
288,1,0,1,0,0,0,0,1,0,1
289,1,1,0,0,0,0,0,0,0,0
290,0,1,0,0,0,0,1,0,0,0
291,1,0,1,0,0,0,0,0,0,1
292,1,0,1,0,0,0,1,1,0,1
293,0,0,1,0,0,0,1,0,0,0
294,0,1,0,0,0,0,0,0,0,0
295,0,1,0,0,0,0,1,0,0,0
296,1,0,1,0,0,0,1,1,0,1
297,1,0,1,0,0,0,0,0,0,1
298,1,0,1,0,0,1,1,1,0,1
299,0,0,1,0,0,0,0,0,0,0
300,1,1,0,0,0,0,0,0,0,1
301,1,1,0,0,0,0,1,0,0,0
302,1,1,0,0,0,0,0,1,0,1
303,1,1,0,0,0,0,1,0,0,1
304,1,1,0,0,0,0,1,1,0,1
305,1,0,1,0,0,0,1,0,0,1
306,0,1,0,0,0,0,0,0,0,0
307,1,1,0,0,0,0,1,1,0,1
308,1,1,0,0,0,0,1,1,0,0
309,0,1,0,0,0,0,0,0,0,0
310,0,0,1,0,0,0,0,0,0,0
311,1,0,1,0,0,0,1,1,0,1
312,1,1,0,0,0,0,1,0,0,0
313,1,0,1,0,0,0,1,1,0,1
314,0,1,0,0,0,0,0,0,0,1
315,0,1,0,0,0,0,1,0,0,0
316,0,0,1,0,0,0,1,0,0,0
317,0,0,1,0,0,0,1,1,0,0
318,1,1,0,0,0,0,1,1,0,1
319,1,0,1,0,0,0,1,1,0,1
320,0,1,0,0,0,0,0,0,0,0
321,1,1,0,0,0,0,1,0,0,0
322,0,0,1,0,0,0,0,0,0,0
323,0,1,0,0,0,1,1,1,0,1
324,0,1,0,0,0,0,1,0,0,0
325,1,0,1,0,0,0,1,1,1,1
326,1,1,0,0,0,0,0,0,0,1
327,1,1,0,0,0,0,0,1,0,0
328,1,0,1,0,0,1,1,1,0,1
329,0,1,0,0,0,0,1,0,0,0
330,1,0,1,0,0,1,1,1,0,1
331,1,0,1,0,0,0,1,1,0,1
332,1,1,0,0,0,0,1,0,0,1
333,1,0,1,0,0,0,0,0,0,1
334,1,1,0,0,0,1,1,0,0,0
335,1,0,1,0,0,0,0,0,0,0
336,1,0,1,0,0,0,0,0,0,1
337,0,1,0,0,0,0,0,1,0,1
338,1,0,1,0,0,0,1,0,0,1
339,0,1,0,0,0,0,1,0,0,0
340,0,0,1,0,0,0,0,0,0,0
341,1,0,1,0,0,1,1,1,0,1
342,0,1,0,0,0,1,1,1,0,1
343,0,1,0,0,0,1,1,1,0,1
344,1,1,0,0,0,0,0,0,0,1
345,1,1,0,0,0,0,1,1,0,1
346,0,1,0,0,0,0,0,0,0,0
347,0,1,0,0,0,0,1,0,0,0
348,0,1,0,0,0,0,0,0,0,0
349,1,0,1,0,0,0,0,0,0,0
350,1,0,1,0,0,0,0,0,0,1
351,1,0,1,0,0,0,0,0,0,1
352,1,1,0,0,0,0,1,1,0,1
353,0,1,0,0,0,0,1,1,0,1
354,1,1,0,0,0,0,1,0,0,0
355,1,0,1,0,0,0,1,1,0,1
356,0,0,1,0,0,0,0,0,0,0
357,1,0,1,0,0,0,0,0,0,1
358,0,1,0,0,0,0,0,0,0,0
359,0,1,0,0,0,0,1,0,0,0
360,1,0,1,0,0,0,1,1,0,1
361,1,0,1,0,0,1,1,1,0,1
362,1,1,0,0,0,0,0,0,0,0
363,1,1,0,0,0,0,0,0,0,0
364,1,1,0,0,0,0,1,1,0,1
365,1,0,1,0,0,0,1,0,0,0
366,1,1,0,0,0,0,0,0,0,0
367,0,1,0,0,0,0,0,0,0,0
368,0,1,0,0,0,0,1,0,0,0
369,1,0,1,0,0,1,1,1,0,1
370,1,0,1,0,0,0,1,1,0,1
371,0,1,0,0,0,0,0,0,0,0
372,0,1,0,0,0,0,0,0,1,0
373,0,0,1,0,0,0,1,0,1,1
374,0,0,1,0,0,0,1,0,0,0
375,0,1,0,0,0,0,1,0,0,0
376,1,0,1,0,0,0,1,0,0,1
377,1,1,0,0,0,0,0,0,0,0
378,1,1,0,0,0,0,1,0,0,0
379,0,1,0,0,0,0,1,0,0,0
380,0,1,0,0,0,0,0,0,0,0
381,1,0,1,0,0,0,1,1,0,1
382,0,1,0,0,0,0,1,0,0,0
383,0,1,0,0,0,0,0,0,0,0
384,1,1,0,0,0,0,1,0,0,0
385,1,0,1,0,0,0,0,0,0,0
386,0,1,0,0,0,0,0,0,1,0
387,0,1,0,0,0,1,1,1,0,1
388,1,1,0,0,0,0,1,0,0,0
389,1,0,1,0,1,0,0,0,0,1
390,0,0,1,0,0,0,0,0,0,0
391,1,0,1,0,0,0,0,0,0,0
392,1,0,1,0,0,0,1,0,0,1
393,1,1,0,0,0,0,1,0,0,0
394,1,1,0,0,0,0,0,0,0,0
395,1,0,1,0,0,0,1,0,0,1
396,1,1,0,0,0,0,1,1,0,1
397,1,1,0,0,0,0,0,1,1,0
398,0,1,0,0,0,1,0,1,0,0
399,0,1,0,0,0,0,0,0,0,0
400,1,0,1,0,0,0,1,1,0,1
401,1,0,1,0,0,0,1,1,0,1
402,0,1,0,0,0,0,0,0,0,0
403,1,1,0,0,0,0,0,0,0,1
404,1,1,0,0,0,0,1,0,0,0
405,1,1,0,0,0,0,1,0,0,0
406,1,1,0,0,0,1,1,1,0,1
407,0,0,1,0,0,0,1,0,0,0
408,0,1,0,0,0,0,1,0,0,0
409,1,1,0,0,0,1,1,1,0,1
410,0,0,1,0,0,0,0,0,0,0
411,1,1,0,0,0,0,1,0,0,1
412,1,0,1,0,0,0,1,1,0,1
413,1,0,1,0,0,0,0,1,0,1
414,0,1,0,0,0,0,0,0,0,0
415,1,0,1,0,0,0,1,0,0,1
416,1,1,0,0,0,0,0,0,0,0
417,1,0,1,0,0,0,1,1,0,1
418,1,1,0,0,0,0,0,1,0,1
419,1,0,1,0,0,1,1,1,0,1
420,1,1,0,0,0,0,1,0,0,0
421,0,1,0,0,0,0,0,0,0,1
422,1,1,0,0,0,1,1,1,0,1
423,0,1,0,0,0,0,0,0,0,0
424,0,1,0,0,0,0,0,0,0,0
425,1,0,1,0,0,0,1,0,0,0
426,1,1,0,0,0,1,1,1,0,1
427,1,0,1,0,0,0,0,0,0,1
428,1,1,0,0,0,0,1,1,1,1
429,1,0,1,0,0,1,1,1,0,1
430,0,0,1,0,0,0,0,0,0,0
431,1,1,0,0,0,1,1,0,0,1
432,1,1,1,0,0,0,1,1,0,1
433,1,1,0,0,0,0,0,0,0,0
434,1,0,1,0,0,0,0,1,0,1
435,0,1,0,0,0,0,0,0,0,0
436,1,0,1,0,0,0,0,1,1,1
437,0,1,0,0,0,0,0,0,0,0
438,1,0,1,0,0,0,0,0,0,0
439,1,1,0,0,0,0,0,1,0,1
440,1,0,1,0,0,0,0,0,0,0
441,1,1,0,0,0,0,1,1,0,1
442,0,1,0,0,0,0,0,0,0,1
443,0,1,0,0,0,0,0,0,0,0
444,1,0,1,0,0,0,0,0,0,0
445,1,1,0,0,0,0,0,0,0,0
446,1,1,0,0,0,0,1,1,0,1
447,1,1,0,0,0,1,1,0,0,1
448,1,0,1,0,0,0,0,0,0,1
449,1,0,1,0,0,0,0,0,0,0
450,1,1,0,0,0,0,0,0,0,0
451,0,1,0,0,0,0,0,1,0,0
452,1,0,1,0,0,0,1,1,0,1
453,0,1,0,0,0,0,0,0,0,0
454,0,1,0,0,0,0,1,0,0,0
455,1,1,0,0,0,0,0,1,0,1
456,0,1,0,0,0,0,1,0,0,0
457,1,0,1,0,0,0,1,1,0,1
458,0,1,0,0,0,1,1,1,0,1
459,1,1,0,0,0,0,1,0,0,1
460,0,1,0,0,0,0,1,0,0,0
461,1,0,1,0,0,0,0,0,0,1
462,0,1,0,0,0,0,0,0,0,0
463,1,0,1,0,0,0,0,1,0,1
464,1,0,1,0,0,0,0,0,0,1
465,1,0,1,0,0,0,1,0,0,1
466,1,1,0,0,0,0,0,1,0,1
467,0,1,0,0,0,0,0,0,0,1
468,0,0,1,0,0,0,0,1,0,0
469,1,1,0,0,0,0,0,0,0,0
470,1,0,1,0,0,1,0,0,0,1
471,0,0,1,0,0,0,1,0,0,0
472,1,1,0,0,0,0,0,0,1,0
473,0,1,0,0,0,0,1,0,0,0
474,0,0,1,0,0,0,1,0,0,0
475,1,1,0,0,0,0,0,0,1,0
476,0,0,1,0,0,0,0,0,0,0
477,1,0,1,0,0,1,1,0,0,1
478,1,0,1,0,0,0,0,1,0,1
479,1,1,0,0,0,0,0,1,0,1
480,1,1,0,0,0,0,0,0,0,0
481,1,0,1,0,0,1,1,1,0,1
482,0,1,0,0,0,0,0,0,1,1
483,1,1,0,0,0,0,1,0,0,0
484,1,1,0,0,0,0,1,0,0,1
485,0,1,0,0,0,0,0,0,0,0
486,0,1,0,0,0,0,0,0,1,1
487,1,1,0,0,0,0,1,0,0,0
488,0,1,0,0,0,0,0,0,0,1
489,1,0,1,0,0,0,0,1,1,1
490,0,1,0,0,0,0,1,0,0,0
491,1,1,0,0,0,0,1,1,0,1
492,0,0,1,0,0,0,0,0,0,0
493,0,0,1,0,0,0,1,1,0,0
494,1,0,1,0,0,0,0,0,0,0
495,1,1,0,0,0,0,1,1,0,1
496,0,1,0,0,0,0,0,0,0,0
497,1,0,1,0,0,0,0,0,0,1
498,1,0,1,0,0,0,0,1,0,1
499,1,0,1,0,0,0,0,0,0,1
500,0,1,0,0,0,0,1,0,1,0
501,1,1,0,0,0,1,1,1,0,1
502,1,1,0,0,0,0,1,1,0,1
503,1,1,0,0,0,0,0,0,0,0
504,0,1,0,0,0,0,0,0,0,0
505,1,1,0,0,0,0,1,0,1,1
506,1,0,1,0,0,0,1,1,0,1
507,0,1,0,0,0,0,0,1,0,0
508,0,1,0,0,0,0,1,0,0,0
509,1,0,1,0,0,1,1,0,0,1
510,1,0,1,0,0,1,0,1,0,1
511,0,1,0,0,0,0,1,1,0,0
512,1,0,1,0,0,1,0,0,1,1
513,1,0,1,0,0,0,1,0,0,1
514,1,1,0,0,0,0,1,1,0,1
515,0,1,0,0,0,1,0,0,1,1
516,1,0,1,0,0,0,1,0,0,1
517,0,1,0,0,0,0,0,0,0,0
518,1,0,1,0,0,0,1,0,0,1
519,1,1,0,0,0,0,0,1,0,1
520,1,0,1,0,0,1,0,0,0,1
521,1,1,0,0,0,0,0,0,0,1
522,0,1,0,0,0,0,0,0,0,1
523,1,1,0,0,0,0,0,0,0,0
524,1,0,1,0,0,0,0,0,0,1
525,1,0,1,0,0,0,0,1,0,1
526,1,1,0,0,0,0,0,0,0,1
527,1,1,0,0,0,0,1,0,0,0
528,1,0,1,0,0,0,1,0,0,1
529,1,0,1,0,0,1,1,1,0,1
530,1,1,0,0,0,0,1,0,0,0
531,1,0,1,0,1,1,0,0,0,1
532,1,1,0,0,0,0,1,1,0,1
533,1,1,0,0,0,0,1,0,1,0
534,1,1,0,0,0,0,0,0,0,1
535,1,1,0,0,0,0,0,0,0,1
536,1,0,1,0,0,0,1,1,0,1
537,1,1,0,0,0,0,1,1,0,1
538,1,1,0,0,0,0,1,0,0,1
539,0,1,0,0,0,0,0,0,0,0
540,0,1,0,0,0,0,0,0,0,0
541,1,0,1,0,0,0,0,0,0,0
542,0,1,0,0,0,0,0,0,0,0
543,1,1,0,0,0,0,1,1,0,1
544,1,1,0,0,0,0,0,1,1,1
545,0,1,0,0,0,0,1,0,0,0
546,0,1,0,0,0,1,1,1,0,1
547,1,1,0,1,0,0,1,1,0,1
548,0,0,1,0,0,0,0,0,0,1
549,1,1,0,0,0,0,0,0,0,1
550,0,1,0,0,0,0,0,0,0,0
551,1,0,1,0,0,1,0,1,0,1
552,0,1,0,0,0,0,1,1,0,0
553,1,1,0,0,0,0,0,1,0,1
554,1,1,0,0,0,1,0,0,0,1
555,1,0,1,0,0,1,1,0,0,1
556,0,0,1,0,0,0,1,0,0,0
557,1,0,1,0,0,0,0,0,0,1
558,1,0,1,0,0,1,1,0,0,1
559,1,0,1,0,0,1,1,0,0,1
560,1,0,1,0,0,0,1,0,0,1
561,1,0,1,0,0,1,0,0,0,1
562,1,0,1,0,0,0,1,0,0,1
563,1,0,1,0,0,0,1,1,0,1
564,0,1,0,0,0,0,1,0,0,0
565,1,1,0,0,0,0,1,0,0,0
566,1,1,0,0,0,0,0,0,0,1
567,1,0,1,0,0,0,0,1,0,1
568,1,0,1,0,0,0,1,0,0,1
569,0,0,1,0,0,0,0,0,0,0
570,1,0,1,0,0,0,0,1,0,1
571,1,1,0,0,0,0,1,1,0,1
572,1,1,0,0,0,0,1,1,0,1
573,1,1,0,0,0,0,1,0,0,0
574,1,1,0,0,0,1,1,0,0,0
575,1,1,0,0,0,0,0,0,0,0
576,1,0,1,0,0,1,0,1,0,1
577,1,0,1,0,1,0,0,0,0,1
578,0,1,0,0,0,0,0,0,0,0
579,1,0,1,0,0,1,1,0,0,1
580,1,0,1,0,0,1,1,1,0,1
581,1,1,0,0,0,1,0,0,0,0
582,1,0,1,0,0,0,0,1,0,1
583,0,0,1,0,0,0,1,1,0,0
584,0,1,0,0,0,1,0,0,1,1
585,1,0,1,0,0,0,1,0,0,1
586,1,1,0,0,0,0,1,1,0,1
587,1,1,0,0,1,0,0,1,0,1
588,0,1,0,0,0,0,0,0,0,1
589,1,0,1,0,0,0,1,0,0,1
590,1,1,0,0,0,1,1,0,1,0
591,0,1,0,0,0,1,1,1,0,1
592,1,1,0,0,0,0,1,1,0,1
593,0,1,0,0,0,0,0,0,0,0
594,1,1,1,0,0,0,1,1,0,1
595,1,1,0,0,0,0,1,1,0,1
596,1,0,1,0,0,0,1,1,0,1
597,1,0,1,0,0,0,1,1,0,1
598,1,1,0,0,0,0,0,1,0,1
599,0,0,1,0,0,0,1,1,0,0
600,1,1,0,0,0,0,1,1,0,1
601,1,0,1,0,0,0,1,0,0,1
602,1,0,1,0,0,0,1,0,0,1
603,1,0,1,0,0,0,1,0,0,1
604,1,1,0,0,0,0,0,0,1,0
605,1,1,0,0,0,0,0,0,0,1
606,1,1,0,0,0,0,0,0,0,0
607,1,0,1,0,0,0,1,1,0,1
608,1,1,0,0,0,0,0,0,0,0
609,0,1,0,0,0,0,1,0,0,0
610,1,1,0,0,0,0,1,1,0,1
611,0,0,1,0,0,0,1,0,0,1
612,0,1,0,0,0,0,1,0,0,0
613,1,0,1,0,0,0,1,1,0,1
614,1,1,0,0,0,0,0,0,0,0
615,0,1,0,0,0,0,1,1,0,0
616,1,1,0,0,0,0,0,0,0,1
617,1,1,0,0,0,0,1,0,0,1
618,0,0,1,0,0,1,1,0,0,0
619,0,1,0,0,0,0,0,0,0,1
620,1,1,0,0,0,0,0,0,0,0
621,1,0,1,0,0,1,1,1,0,1
622,1,0,1,0,0,1,1,1,0,1
623,1,1,0,0,0,0,0,0,0,0
624,1,0,1,0,0,1,0,1,0,1
625,1,0,1,0,0,1,1,1,0,1
626,1,1,0,0,0,0,1,0,0,0
627,1,0,1,0,0,0,1,0,0,1
628,1,1,0,0,0,1,1,1,0,1
629,1,1,0,0,0,0,0,1,0,1
630,1,1,0,0,0,1,0,0,0,0
